row_id,idea_title,domain,source_type,source_url,publication_year,citation_count,patent_count,author_id,author_profession,author_city,author_religion,aim_score,k_factor,invite_rate,conversion_rate,viral_cycle_time_days,aha_conversion_24h,invite_initiation_rate,social_proof_multiplier,share_to_value_ratio,friction_coefficient,complexity_score,retention_d1,retention_d7,retention_d30,stickiness_dau_mau,network_density_growth,global_demand_score,cultural_resonance_score,infrastructure_readiness,capital_alignment_score,timing_window_score,emotional_trigger_index,geopolitical_tension,regulatory_disruption,capital_acceleration,shock_amplification_factor,virality_horizon_years,temporal_decay_factor,novelty_score,q1_universal_pain,q2_emotion_trigger,q3_low_friction,q4_network_effect,q5_scalable_economics,q6_cultural_resonance,q7_structural_readiness,q8_capital_alignment,q9_timing_window,q10_author_credibility,virality_composite_score
11,Affordable Exoskeleton for Mobility-Impaired Workers,fintech,legislation_draft,https://legislation.gov/doc/11,2000,4963,155,AUTH_0011,investor,New York,syncretic,0.286,2.0914,4.819,0.434,14.08,0.592,0.198,2.501,0.941,0.778,0.164,0.364,0.251,0.192,0.367,0.908,0.831,0.243,0.697,0.302,0.684,0.806,0.796,0.566,0.041,0.6028,53.32,0.012,0.0302,0.883028483360257,0.8101447808930947,0.1687943522645738,0.9112797239098874,0.8727074828390085,0.3232783640145589,0.6691034532775123,0.3092113351276317,0.7111833735088897,0.3403059715689559,0.5999
12,Affordable Exoskeleton for Mobility-Impaired Workers,govtech,legislation_draft,https://biorxiv.org/doc/12,2014,2755,7,AUTH_0012,biologist,Singapore,sikh,0.55,0.5004,2.477,0.202,20.31,0.406,0.241,3.067,0.191,0.488,0.355,0.32,0.173,0.103,0.534,0.556,0.555,0.24,0.476,0.712,0.448,0.017,0.294,0.404,0.243,0.3493,66.43,0.0001,0.1287,0.46125776049898276,0.1572810668794088,0.467753777823938,0.5415040360201011,0.15000528850640035,0.2522613477243126,0.4857489920410526,0.7913269990714827,0.41501163851087464,0.6255172203870102,0.4348
13,Vertical Farming Mesh Network for Urban Food Security,mediatech,conference_talk,https://ssrn.com/doc/13,1998,2247,11,AUTH_0013,urban_planner,Toronto,atheist,0.2858,1.637,4.872,0.336,11.51,0.941,0.051,2.762,0.184,0.697,0.126,0.838,0.541,0.398,0.366,0.469,0.478,0.822,0.401,0.074,0.629,0.054,0.149,0.563,0.304,0.3638,99.39,0.0,0.0264,0.42087353491595386,0.014582755581401728,0.3108633539044575,0.4207154662669587,0.21925376411587696,0.7991597659025451,0.35605881026512104,0.04606024369262186,0.6129893835896243,0.27843370146537927,0.3479
14,Cross-Border Micro-Loan Network using DeFi,govtech,market_report,https://semanticscholar.org/doc/14,2008,2316,179,AUTH_0014,policy_analyst,Tokyo,muslim,0.3371,0.2235,4.299,0.052,13.5,0.142,0.266,1.899,0.149,0.233,0.265,0.773,0.537,0.377,0.159,0.115,0.06,0.793,0.595,0.824,0.921,0.439,0.469,0.304,0.403,0.4348,27.3,0.0433,0.0705,0.0,0.37837582500054207,0.7603994939267045,0.047290884511381706,0.18457830310435389,0.798833414859045,0.5495554991490071,0.7357738387548237,0.9122579505175121,0.33177131322450093,0.4699
15,Genomic Risk Map for Pandemic Early Warning,govtech,market_report,https://semanticscholar.org/doc/15,1996,1317,84,AUTH_0015,biologist,Cairo,agnostic,0.4454,0.6233,2.064,0.302,24.95,0.001,0.825,4.09,0.865,0.663,0.4,0.746,0.312,0.107,0.189,0.116,0.869,0.462,0.054,0.518,0.623,0.498,0.442,0.052,0.267,0.2606,13.19,0.0796,0.0223,0.9383524977854756,0.5107198061028166,0.3609810504119042,0.04109647533208899,0.8619092574241145,0.46970009194528406,0.024124384737848094,0.5374930245062937,0.636331009341448,0.4247981636515998,0.4806
16,Smart City Traffic AI Reducing Commute by 40%,govtech,conference_talk,https://crunchbase.com/doc/16,1998,571,70,AUTH_0016,urban_planner,Mumbai,atheist,0.4879,1.9871,3.866,0.514,35.7,0.484,0.447,3.64,0.865,0.34,0.788,0.327,0.131,0.087,0.511,0.58,0.332,0.763,0.377,0.933,0.87,0.981,0.239,0.383,0.856,0.5201,41.14,0.0192,0.0288,0.4204249696498723,0.9745515348675239,0.6434133444570244,0.5565505414940625,0.8903447300441554,0.7573054200913487,0.4208542941798899,0.9232996511332856,0.9479846449112518,0.5448325727801884,0.708
17,Bio-Mimetic Water Purification Nano-Filter,edtech,startup_pitch,https://semanticscholar.org/doc/17,2024,3113,81,AUTH_0017,entrepreneur,Berlin,muslim,0.3638,1.6757,3.138,0.534,28.61,0.704,0.76,1.362,0.978,0.488,0.541,0.625,0.323,0.207,0.208,0.227,0.101,0.166,0.299,0.029,0.324,0.056,0.358,0.431,0.244,0.3906,41.26,0.0051,0.3449,0.06306860628000462,0.024823901318807406,0.48806882557648457,0.17342984445009973,0.9465030660229057,0.14786170127504467,0.26308226811886065,0.0,0.27057887541350034,0.2710377707569889,0.2648
18,Decentralized Carbon Credit Exchange on Blockchain,cleantech,market_report,https://openalex.org/doc/18,2012,4708,75,AUTH_0018,biologist,São Paulo,syncretic,0.4541,0.9134,4.964,0.184,44.98,0.286,0.904,3.426,0.497,0.978,0.658,0.333,0.227,0.146,0.46,0.049,0.799,0.607,0.352,0.637,0.621,0.678,0.721,0.659,0.838,0.8819,62.86,0.0283,0.1009,0.7277549745049179,0.6390807960997504,0.057287555920244995,0.07143566768076856,0.49650813792472376,0.5759275321971409,0.39399957138625624,0.6829591850339399,0.6815313844123229,0.4431391396172193,0.477
19,Decentralized Carbon Credit Exchange on Blockchain,cleantech,market_report,https://semanticscholar.org/doc/19,2015,4565,93,AUTH_0019,biologist,Stockholm,buddhist,0.3927,0.112,0.461,0.243,8.49,0.62,0.471,2.486,0.675,0.264,0.124,0.413,0.32,0.138,0.26,0.639,0.943,0.328,0.61,0.648,0.635,0.464,0.701,0.649,0.117,0.6255,4.63,0.6907,0.1364,1.0,0.5239034761696406,0.7721842631016013,0.6803898463904511,0.6355057844199191,0.25563751144927743,0.6591423964320009,0.6306466595808601,0.6335933209640798,0.3637639974042812,0.6155
20,Universal Coding Tutor for Non-English Speaking Youth,mediatech,policy_document,https://scholar.google.com/doc/20,2012,496,101,AUTH_0020,economist,Mumbai,secular,0.4891,0.8058,1.387,0.581,54.03,0.205,0.787,2.334,0.989,0.949,0.824,0.178,0.09,0.056,0.584,0.051,0.83,0.554,0.586,0.813,0.233,0.774,0.789,0.596,0.277,0.6951,98.4,0.0008,0.1166,0.9073359826357589,0.8379176300795231,0.08284615931505665,0.08569213569758209,1.0,0.48927061997339394,0.6250744711142145,0.816887195372004,0.26954830280639963,0.5264650233067784,0.5641
21,On-Chain Scientific Research Funding DAO,govtech,news_article,https://crunchbase.com/doc/21,1991,498,122,AUTH_0021,sociologist,Cairo,syncretic,0.361,1.1104,4.238,0.262,26.99,0.381,0.712,3.497,0.585,0.108,0.712,0.477,0.405,0.187,0.132,0.126,0.597,0.295,0.506,0.43,0.793,0.114,0.655,0.878,0.551,0.8672,86.56,0.0068,0.0142,0.5678607460570873,0.1606047068335907,0.8726910106845528,0.1372578364112004,0.5187351640953659,0.32784365104509694,0.4857408303640363,0.450437904164514,0.8095002583890565,0.3523278422127032,0.4683
22,Genomic Risk Map for Pandemic Early Warning,agritech,social_post,https://openalex.org/doc/22,2017,421,73,AUTH_0022,sociologist,Stockholm,muslim,0.3058,0.6523,3.006,0.217,14.82,0.845,0.807,4.05,0.574,0.578,0.213,0.658,0.337,0.119,0.515,0.368,0.975,0.818,0.614,0.643,0.026,0.929,0.829,0.267,0.18,0.4917,70.3,0.0008,0.196,0.9866156693383645,0.9542612453100534,0.4115584960592832,0.3521380947465182,0.5664242462232855,0.6846335710842386,0.6655454465082822,0.6765159288995524,0.0,0.3443815744152743,0.5642
23,Affordable Exoskeleton for Mobility-Impaired Workers,fintech,conference_talk,https://openalex.org/doc/23,2018,3392,69,AUTH_0023,journalist,Toronto,christian,0.3058,0.3388,1.086,0.312,8.51,0.945,0.204,4.938,0.055,0.345,0.111,0.676,0.471,0.265,0.22,0.221,0.767,0.764,0.289,0.12,0.497,0.431,0.129,0.533,0.23,0.318,55.92,0.0002,0.1883,0.7159104373608961,0.4526451459781327,0.693247854682636,0.24136290344605327,0.009039460055482305,0.7858803742106913,0.26267692446920543,0.08812313755710283,0.38934886507201055,0.3789276953433628,0.4017
24,Smart City Traffic AI Reducing Commute by 40%,agritech,startup_pitch,https://arxiv.org/doc/24,2000,625,130,AUTH_0024,sociologist,Tokyo,sikh,0.4728,1.0239,3.17,0.323,31.38,0.759,0.153,2.024,0.173,0.194,0.776,0.398,0.35,0.218,0.131,0.103,0.075,0.951,0.628,0.464,0.564,0.579,0.681,0.882,0.643,0.9155,98.65,0.0046,0.0344,0.1241293566218993,0.6014756005456963,0.7929440731334519,0.14088417653303104,0.2288277109003532,0.9715648990938315,0.6076841931087217,0.5149301688309289,0.6524260813053047,0.5058267159355863,0.5141
25,Peer-to-Peer Renewable Energy Trading Platform,socialtech,startup_pitch,https://legislation.gov/doc/25,2020,4107,38,AUTH_0025,journalist,Toronto,atheist,0.5436,1.3218,4.789,0.276,50.91,0.364,0.61,4.964,0.524,0.811,0.837,0.935,0.413,0.257,0.072,0.708,0.918,0.387,0.774,0.679,0.052,0.631,0.335,0.33,0.558,0.4408,38.72,0.0124,0.2272,0.9823390057805794,0.6671655088103671,0.22633034236976118,0.6864722624229538,0.4830025194527473,0.32580561080472575,0.828143694103904,0.7359013995799587,0.10712249094126258,0.5760681309764992,0.5618
26,Emotional Support Robot for Elderly in Care Facilities,mediatech,news_article,https://producthunt.com/doc/26,1998,1269,19,AUTH_0026,urban_planner,Seoul,atheist,0.4864,0.7058,1.486,0.475,28.95,0.693,0.181,3.389,0.154,0.508,0.54,0.728,0.483,0.305,0.532,0.618,0.625,0.903,0.721,0.044,0.364,0.72,0.97,0.611,0.752,0.9555,78.4,0.0165,0.0276,0.7105457445663559,0.7012146957026422,0.519041711549901,0.5993665926730578,0.1257011382178537,0.8444858664930838,0.6412454044278044,0.07523129546680357,0.3743922976648042,0.42820302598628623,0.5019
27,Real-Time Disinformation Detection Browser Extension,govtech,startup_post_mortem,https://openalex.org/doc/27,2000,2234,115,AUTH_0027,entrepreneur,Dubai,buddhist,0.5542,0.4391,4.527,0.097,45.09,0.375,0.995,3.008,0.236,0.437,0.946,0.289,0.181,0.086,0.065,0.053,0.028,0.931,0.839,0.65,0.791,0.138,0.287,0.83,0.696,0.6758,13.97,0.3557,0.0319,0.036130455022563616,0.1325383519869348,0.5690932834130893,0.08079643092440678,0.2997353078165019,0.9058700157545914,0.7623521695714168,0.6901187128271169,0.7929774406655717,0.579611997002968,0.4849
28,Bio-Mimetic Water Purification Nano-Filter,govtech,market_report,https://scholar.google.com/doc/28,2016,1534,170,AUTH_0028,data_scientist,Tokyo,agnostic,0.4721,1.0667,3.344,0.319,42.99,0.747,0.373,1.174,0.387,0.361,0.953,0.562,0.446,0.247,0.061,0.873,0.357,0.068,0.241,0.657,0.104,0.582,0.757,0.133,0.352,0.4442,33.92,0.022,0.161,0.3638032593971044,0.5652783924903252,0.6480611796599597,0.8184345681160542,0.3829655201083464,0.08241168628863262,0.2455673464110884,0.6708991354914515,0.15898565351918797,0.4476343927044002,0.4384
29,Decentralized Carbon Credit Exchange on Blockchain,fintech,conference_talk,https://legislation.gov/doc/29,2001,4064,177,AUTH_0029,lawyer,Mumbai,jewish,0.5792,1.3836,2.493,0.555,41.06,0.306,0.661,2.285,0.08,0.519,0.801,0.718,0.316,0.19,0.502,0.545,0.603,0.426,0.69,0.352,0.042,0.87,0.353,0.998,0.275,0.6477,98.0,0.0005,0.0338,0.5200380124348053,0.8631632956590944,0.4877399376127675,0.5556184847217377,0.12373896312433968,0.364727641122602,0.6659605999334165,0.3618385904870324,0.048325220591845575,0.6508970960524192,0.4642
30,Genomic Risk Map for Pandemic Early Warning,edtech,startup_pitch,https://legislation.gov/doc/30,1997,212,188,AUTH_0030,entrepreneur,Seoul,agnostic,0.4569,0.2955,0.938,0.315,12.52,0.074,0.136,4.995,0.2,0.914,0.118,0.759,0.571,0.233,0.387,0.694,0.173,0.713,0.997,0.811,0.968,0.987,0.668,0.71,0.55,0.785,29.11,0.1566,0.0261,0.14760397386251423,0.9856014525911866,0.09428882564289336,0.7200554075873374,0.20289614447563134,0.7018290340763126,0.9517627443312757,0.7950270881509128,0.98895096048141,0.3971343863907868,0.5985
31,Longevity Drug Discovery via Protein Folding AI,edtech,startup_post_mortem,https://ssrn.com/doc/31,2023,2822,32,AUTH_0031,urban_planner,Sydney,agnostic,0.4069,2.0638,4.391,0.47,13.87,0.709,0.323,1.612,0.165,0.64,0.182,0.921,0.568,0.429,0.08,0.124,0.346,0.941,0.895,0.846,0.251,0.635,0.551,0.125,0.303,0.347,53.39,0.0005,0.3154,0.3875169829536619,0.6954300327296359,0.34749394896939106,0.056994739798772856,0.20036221334731708,0.8871882854401492,0.9004622151455985,0.8353190271244602,0.31971169294772644,0.4270789770352171,0.5058
32,Smart City Traffic AI Reducing Commute by 40%,socialtech,social_post,https://patents.google.com/doc/32,1994,490,40,AUTH_0032,economist,Toronto,secular,0.6141,0.6524,2.204,0.296,25.54,0.319,0.562,1.523,0.371,0.204,0.607,0.366,0.278,0.185,0.523,0.975,0.466,0.267,0.248,0.097,0.29,0.384,0.615,0.248,0.865,0.6218,16.05,0.2751,0.0197,0.4708358997164665,0.32547619790731497,0.7374861315042878,0.9695708621049937,0.36710644005352977,0.2771037443414308,0.30385520670020494,0.07698313189261313,0.3240437854528133,0.6068682331776022,0.4459
33,Universal Coding Tutor for Non-English Speaking Youth,socialtech,legislation_draft,https://scholar.google.com/doc/33,2015,419,145,AUTH_0033,cultural_anthropologist,Dubai,agnostic,0.298,0.6301,2.813,0.224,18.79,0.987,0.373,1.515,0.097,0.289,0.386,0.483,0.326,0.232,0.393,0.611,0.558,0.366,0.144,0.602,0.401,0.04,0.039,0.714,0.804,0.5274,51.98,0.0072,0.1565,0.525580441170797,0.10079889250361418,0.7908288667060502,0.7412726296939831,0.09417247908099213,0.32392965590819617,0.09552591145049155,0.6823740394492236,0.3240810900422424,0.2821515720758397,0.3961
34,Longevity Drug Discovery via Protein Folding AI,spacetech,social_post,https://scholar.google.com/doc/34,1993,4780,122,AUTH_0034,policy_analyst,Tokyo,sikh,0.4954,0.328,0.861,0.381,45.73,0.691,0.151,1.076,0.314,0.62,0.841,0.226,0.167,0.053,0.572,0.11,0.41,0.775,0.921,0.873,0.736,0.062,0.138,0.207,0.325,0.2319,66.26,0.0,0.015,0.3502584352950032,0.07747372523600674,0.3080963931541171,0.08848483302032437,0.36490490614462545,0.7191651535794673,0.9339592379425169,0.83602507548205,0.611032633908751,0.5078627472877196,0.4797
35,Universal Coding Tutor for Non-English Speaking Youth,biotech,legislation_draft,https://scholar.google.com/doc/35,2015,2827,197,AUTH_0035,engineer,Stockholm,buddhist,0.5275,0.7285,4.025,0.181,31.45,0.137,0.696,3.154,0.933,0.288,0.714,0.394,0.245,0.105,0.313,0.202,0.616,0.587,0.242,0.67,0.531,0.638,0.052,0.413,0.717,0.4004,10.14,0.2819,0.14,0.5185205540202755,0.7025528263483242,0.7531324253269982,0.16258829540172742,0.9732438882277817,0.7094323746050808,0.21084617694706437,0.7349637553453445,0.5491252558370583,0.5156650390064459,0.583
36,On-Chain Scientific Research Funding DAO,mediatech,social_post,https://semanticscholar.org/doc/36,1990,2444,145,AUTH_0036,cultural_anthropologist,New York,muslim,0.576,1.684,3.018,0.558,22.19,0.731,0.331,2.091,0.809,0.335,0.454,0.645,0.427,0.318,0.124,0.504,0.648,0.719,0.014,0.337,0.295,0.674,0.193,0.611,0.639,0.5164,40.61,0.0196,0.0116,0.6298189497806952,0.6870644249195339,0.7215899940611739,0.49745898950738904,0.8143843983463915,0.7167030417298085,0.0,0.3733408789165224,0.29023427497322996,0.6204621213576976,0.5351
37,3D-Printed Custom Prosthetics via Mobile Clinic,mediatech,startup_pitch,https://scholar.google.com/doc/37,1997,2416,94,AUTH_0037,sociologist,Sydney,hindu,0.6201,0.4277,3.077,0.139,8.61,0.247,0.218,3.15,0.664,0.134,0.153,0.736,0.517,0.263,0.352,0.471,0.755,0.873,0.082,0.447,0.704,0.078,0.564,0.062,0.548,0.4018,50.6,0.0018,0.0236,0.7264317667745425,0.13145335268053926,0.8912575179879851,0.49361966646132616,0.6450783526507124,0.8621049915878475,0.0,0.4410760557655701,0.6465500494590045,0.6374061896858273,0.5475
38,AI-Powered Diagnostic Companion for Rural Physicians,cleantech,market_report,https://biorxiv.org/doc/38,1993,565,120,AUTH_0038,biotech_researcher,Mumbai,secular,0.4703,0.0422,0.168,0.251,45.96,0.683,0.376,4.478,0.907,0.769,0.766,0.932,0.674,0.344,0.596,0.382,0.662,0.539,0.654,0.348,0.178,0.537,0.529,0.728,0.223,0.6089,0.45,0.9637,0.0172,0.6186144536497171,0.5594062901746704,0.2380796285173575,0.4371053765790723,0.9251431176860069,0.5657406300205182,0.7142920105198954,0.2878655074043538,0.24996395157722476,0.48506976539685737,0.5081
39,Longevity Drug Discovery via Protein Folding AI,agritech,conference_talk,https://crunchbase.com/doc/39,1993,1147,128,AUTH_0039,lawyer,Lagos,christian,0.8359,0.7351,4.967,0.148,38.86,0.275,0.414,4.943,0.521,0.916,0.576,0.591,0.465,0.33,0.18,0.876,0.557,0.592,0.735,0.175,0.679,0.556,0.047,0.344,0.643,0.3495,38.18,0.0042,0.0165,0.5857578005474506,0.5951752757362714,0.08557130153777102,0.81938525383725,0.5457168838347243,0.5576821726170085,0.711156564122164,0.08767754918147415,0.734276356567612,0.8030882032326115,0.5525
40,Real-Time Disinformation Detection Browser Extension,govtech,patent,https://arxiv.org/doc/40,1994,1541,194,AUTH_0040,engineer,Lagos,jewish,0.5215,1.1945,2.942,0.406,11.28,0.914,0.754,3.966,0.747,0.217,0.209,0.871,0.48,0.362,0.166,0.19,0.696,0.704,0.397,0.239,0.322,0.283,0.466,0.649,0.308,0.5651,36.03,0.0413,0.0178,0.6992071287715457,0.23918513548195214,0.7955741986075267,0.2314539135321889,0.8428004190609688,0.7323002088150131,0.39650325519812235,0.22997128678820597,0.2594558184574737,0.4997294036291846,0.4926
41,Real-Time Disinformation Detection Browser Extension,govtech,academic_paper,https://openalex.org/doc/41,2021,3775,43,AUTH_0041,economist,Toronto,hindu,0.3749,0.7994,3.667,0.218,22.13,0.049,0.818,4.356,0.074,0.14,0.547,0.256,0.216,0.172,0.576,0.524,0.006,0.137,0.631,0.068,0.151,0.219,0.456,0.06,0.638,0.3929,93.4,0.0,0.2526,0.0,0.20865290307667297,0.9395843380167702,0.5323947237715727,0.03393212133698365,0.12784845950535687,0.5536491850678947,0.06692291766205857,0.04359370810450479,0.424969873466715,0.2932
42,Predictive Mental Health Coach via Wearable Biometrics,cleantech,legislation_draft,https://ssrn.com/doc/42,2004,2457,175,AUTH_0042,lawyer,Lagos,syncretic,0.3945,0.2402,4.142,0.058,44.82,0.645,0.845,3.811,0.083,0.992,0.65,0.127,0.077,0.038,0.312,0.637,0.331,0.977,0.974,0.895,0.919,0.23,0.901,0.692,0.567,0.907,27.18,0.2235,0.0471,0.31384077028074636,0.20365837663604786,0.013240658521456995,0.6298274559262216,0.09042048614293009,1.0,1.0,0.81126622564736,0.9570276477881385,0.3762761059337998,0.5396
43,Vertical Farming Mesh Network for Urban Food Security,fintech,academic_paper,https://producthunt.com/doc/43,1994,2790,154,AUTH_0043,policy_analyst,Nairobi,atheist,0.6058,2.2043,3.847,0.573,36.63,0.661,0.68,4.765,0.432,0.397,0.774,0.125,0.067,0.053,0.32,0.356,0.086,0.619,0.798,0.713,0.082,0.154,0.712,0.634,0.74,0.8308,31.74,0.148,0.0172,0.0064127486926693344,0.18280246680481063,0.6201117917997523,0.3688027972282288,0.3741036779097021,0.6458099701491888,0.7747232721498746,0.7111767861568137,0.13574538080388945,0.6397275768446199,0.4459
44,Wildfire Prediction System using Satellite ML,healthtech,market_report,https://legislation.gov/doc/44,2009,2198,126,AUTH_0044,physician,Mumbai,sikh,0.7535,0.0804,0.738,0.109,15.31,0.007,0.135,3.467,0.458,0.276,0.3,0.765,0.444,0.343,0.446,0.496,0.396,0.842,0.38,0.862,0.44,0.431,0.824,0.651,0.594,0.8506,30.11,0.1703,0.0785,0.41813092340759406,0.47627363119746047,0.6897106545956938,0.5699053323859791,0.37004937120190656,0.744851133606373,0.3888610650776565,0.8184883521184274,0.4233886020252365,0.839696521567953,0.5739
45,NLP-Based Financial Literacy Bot for Developing Markets,agritech,conference_talk,https://semanticscholar.org/doc/45,1998,2480,61,AUTH_0045,educator,London,atheist,0.4183,0.1284,1.271,0.101,20.36,0.968,0.037,4.479,0.418,0.423,0.377,0.482,0.337,0.199,0.344,0.923,0.702,0.812,0.594,0.914,0.109,0.248,0.665,0.166,0.613,0.5145,56.37,0.0042,0.0261,0.7406062517245456,0.2505623282193323,0.5166600834608199,0.9189462680736528,0.36076610217689487,0.7802922462335167,0.5470551126020968,0.9306422436586728,0.11832418504405326,0.3523160321050772,0.5516
